Rank,Company Name,Total Jobs,Categories,Signal Strength,Sample Roles,Data Sources,Last Updated
1,Shopify,19,"saas_compliance, saas_security",Very High,AI Security Engineer; Cloud Security Engineer; SaaS Security Posture Manager; AI Compliance Engineer; Security Engineer - SaaS,LinkedIn,2025-12-01 22:02:58
2,SendGrid Ltd,42,saas_security,Very High,AI Security Engineer; Cloud Security Architect; SaaS Governance Analyst; GenAI Security Specialist; Cloud Security Engineer,Indeed,2025-12-01 22:02:58
3,Monday.com,49,"saas_security, saas_compliance",Very High,SaaS Security Consultant; SaaS Governance Analyst; SaaS Security Engineer; GenAI Security Specialist; SaaS Risk Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
4,Monday.com,48,"sspm, ai_compliance, saas_security",Very High,Cloud Security Engineer; SaaS Risk Analyst; SaaS Security Consultant; SaaS Security Analyst; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
5,Fortinet,25,"saas_compliance, ai_agent_security",Very High,Cloud Security Architect; SSPM Engineer; SaaS Security Posture Manager; SaaS Governance Analyst; AI Security Engineer,Indeed,2025-12-01 22:02:58
6,Looker,50,"sspm, saas_security, ai_compliance",Very High,SaaS Security Engineer; SaaS Security Consultant; SaaS Governance Analyst; GenAI Security Specialist; SSPM Engineer,LinkedIn,2025-12-01 22:02:58
7,Hashicorp,33,"saas_compliance, ai_agent_security, sspm",Very High,SaaS Security Consultant; SaaS Compliance Manager; Cloud Security Architect; SaaS Risk Analyst; SaaS Security Posture Manager,LinkedIn,2025-12-01 22:02:58
8,MongoDB,32,saas_security,Very High,SaaS Security Posture Manager; SaaS Security Engineer; Cloud Security Architect; SaaS Governance Analyst; Cloud Security Engineer,Indeed,2025-12-01 22:02:58
9,RSA,23,sspm,Very High,SaaS Security Engineer; GenAI Security Specialist; SaaS Security Consultant; Cloud Security Engineer; SSPM Engineer,Indeed,2025-12-01 22:02:58
10,DigitalOcean,26,ai_compliance,Very High,SaaS Security Consultant; SaaS Risk Analyst; Cloud Security Engineer; SaaS Security Posture Manager; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
11,Qualys,25,"ai_compliance, sspm",Very High,SaaS Governance Analyst; Cloud Security Engineer; AI Compliance Engineer; SaaS Security Consultant; SaaS Risk Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
12,Oracle,49,"sspm, saas_security, ai_compliance",Very High,SaaS Security Analyst; SaaS Compliance Manager; SaaS Security Engineer; SaaS Risk Analyst; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
13,SquareSpace,21,saas_security,Very High,SaaS Security Analyst; GenAI Security Specialist; AI Security Engineer; Cloud Security Engineer; Security Engineer - SaaS,"Indeed, LinkedIn",2025-12-01 22:02:58
14,Databricks,25,"saas_compliance, sspm, ai_compliance",Very High,SaaS Compliance Manager; Cloud Security Engineer; SaaS Security Consultant; Security Engineer - SaaS; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
15,ForgeRock,50,sspm,Very High,SSPM Engineer; AI Compliance Engineer; GenAI Security Specialist; SaaS Security Consultant; Security Engineer - SaaS,Indeed,2025-12-01 22:02:58
16,Workday,43,"ai_agent_security, saas_security",Very High,SaaS Security Engineer; SaaS Security Consultant; AI Compliance Engineer; Cloud Security Architect; SSPM Engineer,LinkedIn,2025-12-01 22:02:58
17,Tenable,25,ai_agent_security,Very High,SaaS Security Engineer; SaaS Security Analyst; AI Security Engineer; SSPM Engineer; SaaS Security Posture Manager,LinkedIn,2025-12-01 22:02:58
18,ServiceNow,30,saas_security,Very High,AI Security Engineer; Cloud Security Engineer; SaaS Governance Analyst; SaaS Security Posture Manager; AI Compliance Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
19,Calendly Corp,43,"saas_compliance, saas_security",Very High,SaaS Risk Analyst; SSPM Engineer; SaaS Governance Analyst; Security Engineer - SaaS; SaaS Security Analyst,Indeed,2025-12-01 22:02:58
20,Fortinet Ltd,34,saas_security,Very High,SaaS Security Engineer; SaaS Governance Analyst; SaaS Security Posture Manager; SaaS Risk Analyst; Cloud Security Architect,LinkedIn,2025-12-01 22:02:58
21,Google ,38,ai_compliance,Very High,AI Security Engineer; SaaS Security Consultant; AI Compliance Engineer; SaaS Governance Analyst; SaaS Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
22,Box,49,sspm,Very High,Cloud Security Architect; SaaS Security Analyst; SaaS Risk Analyst; SaaS Governance Analyst; SaaS Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
23,CrowdStrike,46,ai_agent_security,Very High,Cloud Security Architect; SaaS Security Engineer; SaaS Security Posture Manager; SaaS Security Analyst; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
24,Barracuda Corp,45,"saas_compliance, ai_agent_security",Very High,Security Engineer - SaaS; Cloud Security Architect; SaaS Security Engineer; GenAI Security Specialist; SSPM Engineer,LinkedIn,2025-12-01 22:02:58
25,Salesforce,29,saas_security,Very High,SaaS Security Analyst; AI Compliance Engineer; SaaS Compliance Manager; SSPM Engineer; Cloud Security Engineer,Indeed,2025-12-01 22:02:58
26,OneLogin,15,"sspm, saas_compliance, saas_security",Very High,SaaS Governance Analyst; SaaS Security Consultant; AI Compliance Engineer; Cloud Security Engineer; SaaS Compliance Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
27,Slack,27,saas_security,Very High,Cloud Security Engineer; SaaS Security Consultant; Cloud Security Architect; SaaS Risk Analyst; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
28,Vultr Ltd,34,ai_agent_security,Very High,SaaS Governance Analyst; AI Compliance Engineer; AI Security Engineer; SaaS Compliance Manager; Cloud Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
29,RSA,42,"sspm, ai_compliance, saas_security",Very High,AI Compliance Engineer; SaaS Risk Analyst; SaaS Security Engineer; SSPM Engineer; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
30,Bitbucket,38,ai_compliance,Very High,SaaS Security Posture Manager; SaaS Compliance Manager; SaaS Security Engineer; AI Compliance Engineer; SSPM Engineer,Indeed,2025-12-01 22:02:58
31,Wrike Corp,50,"sspm, saas_compliance",Very High,SSPM Engineer; SaaS Security Consultant; SaaS Risk Analyst; Cloud Security Engineer; AI Compliance Engineer,Indeed,2025-12-01 22:02:58
32,Square Ltd,25,"ai_agent_security, ai_compliance, saas_compliance",Very High,SaaS Security Posture Manager; GenAI Security Specialist; SaaS Compliance Manager; SaaS Security Consultant; SaaS Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
33,Netlify,37,"sspm, ai_compliance, saas_compliance",Very High,Cloud Security Engineer; SaaS Governance Analyst; SaaS Risk Analyst; AI Compliance Engineer; AI Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
34,Jenkins,45,saas_security,Very High,SaaS Security Posture Manager; AI Compliance Engineer; SSPM Engineer; SaaS Security Consultant; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
35,Constant Contact,16,"saas_compliance, sspm",Very High,SaaS Security Engineer; SaaS Risk Analyst; SaaS Governance Analyst; GenAI Security Specialist; SSPM Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
36,ClickUp Corp,16,"sspm, ai_compliance",Very High,SaaS Security Analyst; SaaS Security Engineer; SSPM Engineer; AI Compliance Engineer; AI Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
37,Workday,31,ai_agent_security,Very High,SaaS Governance Analyst; SaaS Security Posture Manager; SaaS Security Analyst; Cloud Security Architect; SSPM Engineer,LinkedIn,2025-12-01 22:02:58
38,Auth0,15,"saas_compliance, ai_compliance",Very High,SSPM Engineer; SaaS Security Consultant; AI Compliance Engineer; AI Security Engineer; Cloud Security Architect,Indeed,2025-12-01 22:02:58
39,Linode,30,"sspm, saas_compliance",Very High,SaaS Compliance Manager; SaaS Security Engineer; Cloud Security Architect; AI Security Engineer; SSPM Engineer,Indeed,2025-12-01 22:02:58
40,Jira,47,"ai_agent_security, saas_security",Very High,SaaS Governance Analyst; Security Engineer - SaaS; Cloud Security Architect; SSPM Engineer; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
41,GCP Inc,16,ai_compliance,Very High,GenAI Security Specialist; Cloud Security Architect; SaaS Security Analyst; Cloud Security Engineer; Security Engineer - SaaS,LinkedIn,2025-12-01 22:02:58
42,Auth0 LLC,43,"saas_security, sspm, saas_compliance",Very High,Security Engineer - SaaS; SaaS Compliance Manager; SaaS Risk Analyst; SaaS Security Consultant; SaaS Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
43,Linode,20,"sspm, saas_compliance, ai_agent_security",Very High,Cloud Security Architect; SaaS Governance Analyst; AI Security Engineer; SaaS Security Engineer; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
44,Monday.com,30,"ai_agent_security, saas_security",Very High,Cloud Security Engineer; SaaS Governance Analyst; GenAI Security Specialist; SaaS Risk Analyst; Cloud Security Architect,Indeed,2025-12-01 22:02:58
45,Duo Security ,30,"ai_compliance, ai_agent_security, saas_compliance",Very High,SaaS Security Consultant; SaaS Security Analyst; SaaS Governance Analyst; Cloud Security Engineer; SSPM Engineer,Indeed,2025-12-01 22:02:58
46,IBM,31,"saas_compliance, ai_compliance",Very High,SaaS Security Engineer; SaaS Security Analyst; AI Security Engineer; Security Engineer - SaaS; Cloud Security Engineer,LinkedIn,2025-12-01 22:02:58
47,Marketo,37,ai_compliance,Very High,Cloud Security Architect; SaaS Governance Analyst; SaaS Security Posture Manager; GenAI Security Specialist; Cloud Security Engineer,Indeed,2025-12-01 22:02:58
48,Stripe LLC,23,"ai_compliance, saas_compliance",Very High,AI Security Engineer; SaaS Security Posture Manager; SaaS Risk Analyst; SaaS Security Consultant; SaaS Compliance Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
49,Akamai ,38,"ai_agent_security, saas_compliance, sspm",Very High,SaaS Governance Analyst; AI Compliance Engineer; SaaS Compliance Manager; SaaS Security Consultant; GenAI Security Specialist,LinkedIn,2025-12-01 22:02:58
50,Fortinet,22,"saas_security, sspm",Very High,SaaS Security Analyst; SaaS Compliance Manager; SaaS Governance Analyst; AI Compliance Engineer; SSPM Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
